Price,Make,Location,Age,Odometer,FuelType,Transmission,OwnerType,Mileage,EngineCC,PowerBhp
1.75,marutiwagonr,Mumbai,10,72000,CNG,Manual,First,26.6,998,58.16
12.5,hyundaicreta,Pune,5,41000,Diesel,Manual,First,19.67,1582,126.2
4.5,hondajazz,Chennai,9,46000,Petrol,Manual,First,18.2,1199,88.7
6,marutiertiga,Chennai,8,87000,Diesel,Manual,First,20.77,1248,88.76
17.74,audia4,Coimbatore,7,40670,Diesel,Automatic,Second,15.2,1968,140.8
2.35,hyundaieon,Hyderabad,8,75000,LPG,Manual,First,21.1,814,55.2
3.5,nissanmicra,Jaipur,7,86999,Diesel,Manual,First,23.08,1461,63.1
17.5,toyotainnovacrysta,Mumbai,4,36000,Diesel,Automatic,First,11.36,2755,171.5
5.2,volkswagenvento,Pune,7,64430,Diesel,Manual,First,20.54,1598,103.6
1.95,tataindica,Chennai,8,65932,Diesel,Manual,Second,22.3,1248,74
9.95,maruticiaz,Kochi,2,25692,Petrol,Manual,First,21.56,1462,103.25
4.49,hondacity,Kolkata,8,60000,Petrol,Automatic,First,16.8,1497,116.3
5.6,marutiswift,Jaipur,5,64424,Diesel,Manual,First,25.2,1248,74
27,landroverrangerover,Delhi,6,72000,Diesel,Automatic,First,12.7,2179,187.7
17.5,landroverfreelander,Pune,8,85000,Diesel,Automatic,Second,12.38,2179,115
15,mitsubishipajero,Delhi,6,110000,Diesel,Manual,First,13.5,2477,175.56
5.4,hondaamaze,Kochi,4,58950,Diesel,Manual,First,25.8,1498,98.6
5.99,marutiswift,Jaipur,3,25000,Diesel,Manual,First,28.4,1248,74
6.34,renaultduster,Kochi,6,77469,Diesel,Manual,First,20.45,1461,83.8
28,mercedesbenznewclass,Bangalore,6,78500,Diesel,Automatic,First,14.84,2143,167.62
18.55,bmw3,Kochi,6,32982,Diesel,Automatic,First,22.69,1995,190
8.25,marutiscross,Bangalore,5,55392,Diesel,Manual,Second,23.65,1248,88.5
23.5,audia6,Mumbai,5,55985,Petrol,Automatic,First,13.53,1984,177.01
1.87,hyundaii20,Kolkata,10,45807,Petrol,Manual,First,18.5,1197,80
2.85,volkswagenvento,Kolkata,10,33000,Petrol,Automatic,First,14.4,1598,103.6
4.25,hondacity,Mumbai,8,51920,Petrol,Manual,First,16.8,1497,116.3
4.25,nissanmicra,Hyderabad,8,54000,Diesel,Manual,First,23.08,1461,63.1
2.75,marutialto,Hyderabad,7,54000,Petrol,Manual,Second,20.92,998,67.1
9.9,hondawrv,Kochi,2,37430,Petrol,Manual,First,17.5,1199,88.7
4,toyotainnova,Mumbai,13,262000,Diesel,Manual,Fourth +ACY- Above,12.8,2494,102
7.75,renaultduster,Bangalore,7,62000,Diesel,Manual,First,19.01,1461,108.45
6.75,toyotacorolla,Delhi,8,87615,Petrol,Manual,First,14.53,1798,138.1
12.5,mahindrassangyong,Bangalore,7,72000,Diesel,Automatic,Second,11.18,2696,184
11.5,audia6,Kolkata,10,35000,Diesel,Automatic,First,12.4,2698,179.5
6.98,volkswagenvento,Coimbatore,6,55431,Petrol,Manual,Second,16.09,1598,103.5
1.85,marutiwagonr,Jaipur,11,83816,Petrol,Manual,Second,14,1061,64
8.63,marutivitarabrezza,Kochi,2,50075,Diesel,Manual,First,24.3,1248,88.5
4.85,mahindrakuv,Delhi,3,52000,Petrol,Manual,First,18.15,1198,82
28,mercedesbenzmclass,Pune,7,85000,Diesel,Automatic,First,11.74,2987,254.8
5,volkswagenpolo,Chennai,7,62000,Diesel,Manual,First,22.07,1199,73.9
1.25,marutialto,Delhi,12,90000,Petrol,Manual,Second,19.7,796,46.3
1.53,tatanano,Kochi,6,19698,Petrol,Manual,First,25.4,624,37.5
5.58,mahindrakuv,Coimbatore,3,22033,Diesel,Manual,First,25.32,1198,77
4.74,hyundaii20,Kochi,6,35487,Petrol,Manual,First,18.5,1197,82.9
8.85,hyundaielantra,Bangalore,6,46374,Petrol,Automatic,First,14.62,1999,149.92
10.11,toyotacorolla,Mumbai,4,52001,Petrol,Automatic,First,14.28,1798,138.03
4.25,hyundaielantra,Ahmedabad,12,58005,Diesel,Manual,Second,14.9,1991,112.2
10.95,toyotainnovacrysta,Bangalore,8,70704,Petrol,Manual,First,11.25,2694,163.7
3.85,hyundaixcent,Jaipur,6,75000,Diesel,Manual,First,24.4,1120,71
5.5,mahindrathar,Jaipur,8,75800,Diesel,Manual,Second,16.55,2498,105
21.43,audia4,Kochi,5,13648,Diesel,Automatic,First,17.11,1968,174.33
4.25,marutiswift,Delhi,6,52000,Diesel,Manual,First,22.9,1248,74
3.3,marutiswift,Kolkata,6,53000,Diesel,Manual,First,17.8,1248,75
3.85,marutiswift,Delhi,7,65650,Diesel,Manual,First,28.4,1248,74
3.6,hyundaigrand,Chennai,5,54000,Petrol,Manual,Third,18.9,1197,82
3.99,volkswagenvento,Kolkata,5,39000,Petrol,Manual,First,15.04,1598,103.2
3.3,renaultkwid,Kochi,3,16542,Petrol,Manual,First,25.17,799,53.3
2.07,hyundaii10,Kolkata,10,32000,Petrol,Manual,First,20.36,1197,78.9
7.75,nissanxtrail,Hyderabad,10,121812,Diesel,Automatic,First,13.29,1995,147.6
2.25,marutizen,Hyderabad,10,39300,Petrol,Manual,First,18.2,998,67.1
16.5,toyotainnovacrysta,Mumbai,3,22000,Diesel,Manual,First,13.68,2393,147.8
2.75,fordfigo,Bangalore,10,72000,Diesel,Manual,First,20,1399,68
26.7,mercedesbenznewclass,Delhi,5,58000,Petrol,Automatic,First,11.74,1796,186
10,mercedesbenznewclass,Pune,9,65000,Diesel,Manual,Second,15.8,2148,170
2.5,tataindica,Chennai,4,178000,Diesel,Manual,First,25,1396,69
13.5,audia4,Jaipur,8,65664,Diesel,Automatic,First,16.55,1968,140
1.85,hondacity,Mumbai,13,63000,Petrol,Automatic,Second,16.4,1497,78
35.67,mercedesbenzcclass,Coimbatore,1,15369,Diesel,Automatic,First,+AC0-1,1950,194
8.15,marutiertiga,Pune,4,63000,Diesel,Manual,First,24.52,1248,88.5
10.5,hyundaicreta,Mumbai,2,13000,Diesel,Manual,First,22.1,1396,88.7
14.5,porschecayenne,Mumbai,12,73000,Petrol,Automatic,First,8.5,4806,500
9.65,mahindraxuv500,Mumbai,5,55729,Diesel,Manual,First,15.1,2179,140
3.48,hyundaii10,Kochi,8,45178,Petrol,Automatic,First,16.95,1197,78.9
6.92,nissanterrano,Kochi,5,56066,Diesel,Manual,First,19.64,1461,108.5
6.46,hondabrio,Coimbatore,4,37300,Petrol,Automatic,Second,16.5,1198,86.8
29.5,audia6,Delhi,6,56000,Diesel,Automatic,Second,18.53,1968,187.74
2,fordfiesta,Jaipur,12,111111,Diesel,Manual,First,17.8,1399,74.27
4.5,toyotainnova,Chennai,14,230000,Petrol,Manual,Third,12.4,1998,132
11.75,toyotainnova,Hyderabad,8,104000,Diesel,Manual,First,12.8,2494,102
1.3,hyundaisantro,Hyderabad,15,87591,Petrol,Manual,First,17.2,1086,62.28
3.75,marutiswift,Jaipur,8,95100,Diesel,Manual,First,22.9,1248,74
4.5,tatazest,Pune,3,70000,Petrol,Manual,First,17.57,1193,88.7
4.82,hondaamaze,Kochi,4,54944,Petrol,Manual,First,18,1198,86.7
2.8,fordfigo,Hyderabad,8,70337,Diesel,Manual,First,20,1399,68
3.11,marutiritz,Jaipur,7,99638,Diesel,Manual,First,23.2,1248,73.94
3.25,hondacity,Delhi,11,52000,Petrol,Manual,First,17.8,1497,117.3
13.9,bmw5,Delhi,9,75000,Diesel,Automatic,Second,16.73,1995,218
2.25,hyundaii10,Pune,11,95980,Petrol,Manual,First,20.36,1197,78.9
5.75,hyundaigrand,Bangalore,4,16000,Petrol,Manual,First,18.9,1197,82
2.1,hyundaisantro,Hyderabad,13,73745,Petrol,Manual,First,17,1086,62.28
5,hondaamaze,Mumbai,4,18949,Petrol,Manual,First,17.8,1198,86.7
16.5,toyotafortuner,Delhi,6,107000,Diesel,Manual,First,13,2982,168.5
39.58,audia6,Coimbatore,2,48367,Diesel,Automatic,First,17.68,1968,174.33
5.5,fordecosport,Delhi,7,57000,Diesel,Manual,First,22.7,1498,89.84
8.1,mahindraxuv500,Delhi,6,58000,Diesel,Manual,First,15.1,2179,140
3.5,hondaamaze,Kolkata,5,30000,Diesel,Manual,First,25.8,1498,98.6
2.79,volkswagenpolo,Kolkata,7,34212,Diesel,Manual,First,22.07,1199,73.9
3.45,hyundaiverna,Ahmedabad,10,70002,Diesel,Manual,First,16.2,1493,110
4.45,marutiwagonr,Bangalore,4,62000,Petrol,Manual,First,18.9,998,67.1
2.65,volkswagenpolo,Delhi,10,62001,Petrol,Manual,First,15.26,1598,103.5
3.8,hyundaii20,Pune,9,78958,Diesel,Manual,Second,23,1396,90
4.65,hyundaii20,Mumbai,6,30180,Petrol,Manual,First,18.5,1197,82.85
3.95,datsungo,Pune,3,32851,Petrol,Manual,First,19.83,1198,67
9.8,audia4,Kolkata,10,30000,Diesel,Automatic,First,14.94,2967,241.4
2.7,hyundaii20,Pune,11,66000,Petrol,Manual,Second,17,1197,80
2.41,marutiomni,Coimbatore,10,93850,Petrol,Manual,First,14,796,35
3.9,toyotaetios,Ahmedabad,6,53000,Petrol,Manual,First,17.71,1197,78.9
24,jaguarxf,Hyderabad,9,78000,Diesel,Automatic,Second,14.74,2993,270.9
5.75,mahindraxuv500,Delhi,8,65000,Diesel,Manual,Second,16,2179,140
5.25,hyundaiverna,Kolkata,6,40000,Diesel,Automatic,First,22.32,1582,126.32
19.25,toyotainnovacrysta,Mumbai,3,30000,Diesel,Automatic,First,11.36,2755,171.5
3.91,marutieeco,Coimbatore,3,38053,Petrol,Manual,First,15.1,1196,73
2.15,tatanano,Bangalore,6,25500,Petrol,Manual,First,25.4,624,37.5
20.75,bmw3,Mumbai,5,56087,Diesel,Automatic,First,22.69,1995,190
3.35,hondacivic,Delhi,10,71088,Petrol,Manual,First,13.5,1799,130
11.11,toyotainnova,Ahmedabad,6,55000,Diesel,Manual,First,12.99,2494,100.6
20,volvov40,Bangalore,6,32700,Diesel,Automatic,First,23.3,1984,150
6.55,nissanmicra,Coimbatore,4,39882,Petrol,Automatic,First,19.15,1198,75.94
7,bmw5,Mumbai,11,128000,Petrol,Automatic,First,10.8,2497,215
7.5,marutivitarabrezza,Mumbai,4,55000,Diesel,Manual,First,24.3,1248,88.5
0.85,hyundaisantro,Mumbai,15,102000,Petrol,Manual,Second,17,1086,62.28
16.75,mercedesbenzb,Pune,6,53753,Diesel,Automatic,Second,15,2143,107.3
10.95,hyundaiverna,Kolkata,2,10250,Diesel,Manual,First,22,1582,126.2
2.45,marutiwagonr,Pune,9,43874,Petrol,Manual,First,18.9,998,67.1
3.23,tatanano,Coimbatore,3,32684,Petrol,Automatic,First,21.9,624,37.48
7.75,mahindrascorpio,Kolkata,6,42000,Diesel,Manual,First,12.05,2179,120
9.35,mercedesbenznewclass,Kolkata,11,28352,Petrol,Automatic,First,11.7,1796,178
3.25,marutiwagonr,Pune,7,89900,CNG,Manual,First,26.6,998,58.16
5.25,hondacrv,Bangalore,13,47700,Petrol,Manual,Second,10.8,2354,152
7.25,volkswagenvento,Pune,5,55000,Diesel,Automatic,First,21.21,1498,103.2
7.47,maruticiaz,Kochi,3,44285,Petrol,Manual,First,20.73,1373,91.1
13.25,mahindraxuv500,Jaipur,4,54000,Diesel,Automatic,First,16,2179,140
5.81,marutiritz,Coimbatore,4,30232,Petrol,Manual,First,21.1,1197,85.8
2.6,marutialto,Hyderabad,6,88500,Petrol,Manual,First,24.07,998,67.1
54,mercedesbenzslc,Kolkata,3,13372,Petrol,Automatic,First,19,2996,362.07
11.5,hyundaiverna,Kochi,1,12645,Petrol,Automatic,First,17,1591,121.3
1.6,marutialto,Chennai,10,94385,Petrol,Manual,Second,19.7,796,46.3
17.22,bmw1,Coimbatore,5,31821,Diesel,Automatic,First,20.58,1995,143
6,hondajazz,Mumbai,5,12000,Petrol,Automatic,First,19,1199,88.7
3.95,hondacivic,Delhi,8,88578,Petrol,Manual,First,13.5,1799,130
17.95,mercedesbenznewclass,Kochi,6,44965,Diesel,Automatic,First,19.27,2143,170
3.7,hondaamaze,Kolkata,6,45044,Diesel,Manual,First,25.8,1498,98.6
5.43,marutiswift,Kochi,4,34204,Petrol,Manual,First,22,1197,81.8
1.67,hyundaisantro,Kochi,12,80759,Petrol,Manual,Third,17,1086,62.28
13.49,toyotafortuner,Coimbatore,8,91235,Diesel,Manual,First,11.5,2982,171
2.85,chevroletbeat,Pune,6,38800,Petrol,Manual,First,18.6,1199,76.8
4.75,skodarapid,Chennai,7,83000,Diesel,Manual,First,21.14,1498,103.52
9.9,maruticiaz,Kochi,2,41283,Petrol,Manual,First,20.73,1373,91.1
37,audirs5,Mumbai,7,23000,Petrol,Automatic,First,11.05,2894,444
26.5,bmw3,Mumbai,6,48000,Diesel,Automatic,First,21.76,1995,190
23.32,audia4,Coimbatore,5,48214,Diesel,Automatic,First,17.11,1968,174.33
6.25,marutiswift,Chennai,4,35000,Diesel,Manual,First,22.9,1248,74
30,mercedesbenzs,Kolkata,10,35277,Petrol,Automatic,First,7.81,5461,362.9
9.86,skodarapid,Coimbatore,4,54620,Diesel,Automatic,First,21.66,1498,103.52
